sample_id,path,source,genre,manifest_file,music_prob
0,"Z:\DataSets\CC0-1.0-Music\freemusicarchive.org\Daniel Veesey - Sonata No. 07 in D Major, Op. 10 No. 3 - IV. Rondo Allegro.mp3",cc0_audio_clean,baroque_classical,cc0_audio_clean.csv,0.4665015637874603
1,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\Qmc7RShoqv2UCa4Sm7n1ghUh2RkkD2WbxnGnxMtPZPw9nV.wav,phase1_pdmx,baroque_classical,phase1_symbolic_audio_manifest.csv,0.9867918491363525
2,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\QmbALGjAHYytkQDyKCVH15Mk8euggFacsgjvsCfuHij9qr.wav,phase1_pdmx,baroque_classical,phase1_symbolic_audio_manifest.csv,0.9966392517089844
3,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\Qma2HvSgZhELxGtTD9gnnVdqdarhChegyNoaAFKqoN64rF.wav,phase1_pdmx,baroque_classical,phase1_symbolic_audio_manifest.csv,0.9989827275276184
4,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\QmZHbbXJTDQ9duRsyfMF1cnoUaL2W392P6gTbBT36aXyW6.wav,phase1_pdmx,baroque_classical,phase1_symbolic_audio_manifest.csv,0.9756017327308655
5,Z:\DataSets\CC0-1.0-Music\freesound.org\707454__younoise__melted-snow-baroque-ambient.wav,cc0_audio_clean,baroque_classical,cc0_audio_clean.csv,0.990326464176178
6,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\QmY76eqoMs86vycN6eFwPiAQSYSBwhgT6STmAspLBSowi2.wav,phase1_pdmx,baroque_classical,phase1_symbolic_audio_manifest.csv,0.818500816822052
7,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\QmRqZjk6PF1TkXxg8vJVHduiSfzJVyUoCqk5sr8L1Z483s.wav,phase1_pdmx,baroque_classical,phase1_symbolic_audio_manifest.csv,0.7450335025787354
8,Z:\DataSets\CC0-1.0-Music\chosic.com\Karine_Gilanyan_-_Beethoven_-_Piano_Sonata_nr15_in_D_major_op28_Pastoral_-_IV_Rondo_Allegro_ma_non_troppo(chosic.com).mp3,cc0_audio_clean,baroque_classical,cc0_audio_clean.csv,0.7107701897621155
9,"Z:\DataSets\CC0-1.0-Music\freemusicarchive.org\Daniel Veesey - Sonata No. 32 in C Minor, Op. 111 - I. Maestoso - Allegro con brio ed appassionato.mp3",cc0_audio_clean,baroque_classical,cc0_audio_clean.csv,0.958414614200592
10,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\QmeEdEp44K33Vm3fjEsRqZZwcWdqE5nBFg4k4uvrahyww9.wav,phase1_pdmx,baroque_classical,phase1_symbolic_audio_manifest.csv,0.9369053244590759
11,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\QmbfsvNev8vp3Lg7vUPQPxUo3xUsiQpMea78uFx8VRs1KN.wav,phase1_pdmx,baroque_classical,phase1_symbolic_audio_manifest.csv,0.8803425431251526
12,Z:\DataSets\CC0-1.0-Music\freemusicarchive.org\Jaan Patterson - Nulla in Mundo Pax Sincera (Vivaldi).mp3,cc0_audio_clean,baroque_classical,cc0_audio_clean.csv,0.9998936653137207
13,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\QmNP9VysBPnXdxVtpCZKG9A8ssBZWGkKaTF8R5pGkz4Z4c.wav,phase1_pdmx,baroque_classical,phase1_symbolic_audio_manifest.csv,0.961331307888031
14,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\QmWcbvPmFMna8B63mH4E4DbYBLNc2X2iUXpgEx9ZDcF9rh.wav,phase1_pdmx,baroque_classical,phase1_symbolic_audio_manifest.csv,0.9360804557800293
15,Z:\DataSets\CC0-1.0-Music\chosic.com\Daniel_Veesey_-_04_-_Sonata_No_1_in_F_Minor_Op_2_No_1_-_IV_Prestissimo(chosic.com).mp3,cc0_audio_clean,baroque_classical,cc0_audio_clean.csv,0.8965770602226257
