sample_id,path,source,genre,manifest_file,music_prob
0,"Z:\DataSets\CC0-1.0-Music\freemusicarchive.org\Daniel Veesey - Sonata No. 07 in D Major, Op. 10 No. 3 - IV. Rondo Allegro.mp3",cc0_audio_clean,baroque_classical,cc0_audio_clean.csv,0.4665015637874603
1,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\Qmc7RShoqv2UCa4Sm7n1ghUh2RkkD2WbxnGnxMtPZPw9nV.wav,phase1_pdmx,baroque_classical,phase1_symbolic_audio_manifest.csv,0.9867918491363525
2,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\QmbALGjAHYytkQDyKCVH15Mk8euggFacsgjvsCfuHij9qr.wav,phase1_pdmx,baroque_classical,phase1_symbolic_audio_manifest.csv,0.9966392517089844
3,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\Qma2HvSgZhELxGtTD9gnnVdqdarhChegyNoaAFKqoN64rF.wav,phase1_pdmx,baroque_classical,phase1_symbolic_audio_manifest.csv,0.9989827275276184
4,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\QmZHbbXJTDQ9duRsyfMF1cnoUaL2W392P6gTbBT36aXyW6.wav,phase1_pdmx,baroque_classical,phase1_symbolic_audio_manifest.csv,0.9756017327308655
5,Z:\DataSets\CC0-1.0-Music\freesound.org\707454__younoise__melted-snow-baroque-ambient.wav,cc0_audio_clean,baroque_classical,cc0_audio_clean.csv,0.990326464176178
6,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\QmY76eqoMs86vycN6eFwPiAQSYSBwhgT6STmAspLBSowi2.wav,phase1_pdmx,baroque_classical,phase1_symbolic_audio_manifest.csv,0.818500816822052
7,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\QmRqZjk6PF1TkXxg8vJVHduiSfzJVyUoCqk5sr8L1Z483s.wav,phase1_pdmx,baroque_classical,phase1_symbolic_audio_manifest.csv,0.7450335025787354
8,Z:\DataSets\CC0-1.0-Music\chosic.com\Karine_Gilanyan_-_Beethoven_-_Piano_Sonata_nr15_in_D_major_op28_Pastoral_-_IV_Rondo_Allegro_ma_non_troppo(chosic.com).mp3,cc0_audio_clean,baroque_classical,cc0_audio_clean.csv,0.7107701897621155
9,"Z:\DataSets\CC0-1.0-Music\freemusicarchive.org\Daniel Veesey - Sonata No. 32 in C Minor, Op. 111 - I. Maestoso - Allegro con brio ed appassionato.mp3",cc0_audio_clean,baroque_classical,cc0_audio_clean.csv,0.958414614200592
10,Z:\DataSets\CC0-1.0-Music\freemusicarchive.org\Tadz - TLC & THC.mp3,cc0_audio_clean,cc0_other,cc0_audio_clean.csv,0.7795540690422058
11,Z:\DataSets\CC0-1.0-Music\freemusicarchive.org\Zoliborz - The Call of the Polar Star.mp3,cc0_audio_clean,cc0_other,cc0_audio_clean.csv,0.9763386845588684
12,Z:\DataSets\CC0-1.0-Music\chosic.com\Soft_and_Furious_-_10_-_Melancholic_Ending(chosic.com).mp3,cc0_audio_clean,cc0_other,cc0_audio_clean.csv,0.9237117767333984
13,Z:\DataSets\CC0-1.0-Music\freemusicarchive.org\Monplaisir - A vault.mp3,cc0_audio_clean,cc0_other,cc0_audio_clean.csv,0.892894983291626
14,Z:\DataSets\CC0-1.0-Music\freesound.org\642416__duisterwho__harmonica-blues-harp-instrument-solo.wav,cc0_audio_clean,cc0_other,cc0_audio_clean.csv,0.9815350770950317
15,Z:\DataSets\CC0-1.0-Music\freemusicarchive.org\Kosta T - заморил червячка.mp3,cc0_audio_clean,cc0_other,cc0_audio_clean.csv,0.862152099609375
16,"Z:\DataSets\CC0-1.0-Music\freemusicarchive.org\Monplaisir - Red Hair, Blue Sky.mp3",cc0_audio_clean,cc0_other,cc0_audio_clean.csv,0.2827356457710266
